src	dst	index	capacity	fiberpath_index	wavelength	failure
4	7	1	9	[11,18]	[5,6,7,8,9,10,11,12,13]	0.003
4	8	1	2	[12]	[1,2]	0.002
4	9	1	7	[9,6]	[17,18,19,20,27,28,29]	0.003
4	10	1	2	[11,18,21]	[14,15]	0.004
4	11	1	3	[12,23,31]	[13,14,15]	0.004
4	15	1	8	[10,15]	[1,2,3,4,5,27,28,29]	0.003
4	16	1	18	[11,19]	[1,2,3,4,16,17,18,19,20,21,22,23,24,25,26,27,28,29]	0.003
5	1	1	2	[13]	[1,2]	0.002
5	2	1	6	[9,14]	[6,7,8,9,10,11]	0.003
5	3	1	2	[4,9,14]	[18,19]	0.004
5	6	1	7	[13,2]	[22,23,24,25,26,27,28]	0.003
5	8	1	2	[14,12]	[16,17]	0.003
5	11	1	12	[13,3,45]	[57,58,59,60,61,62,63,64,65,66,67,68]	0.004
5	14	1	10	[15,39]	[6,7,8,9,10,11,30,31,32,33]	0.003
5	15	1	6	[15]	[34,35,36,39,40,41]	0.002
5	16	1	5	[15,40]	[42,43,44,45,46]	0.003
6	1	1	17	[16]	[5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]	0.002
6	5	1	7	[1,16]	[22,23,24,25,26,27,28]	0.003
6	7	1	6	[18]	[16,17,18,19,20,21]	0.002
6	10	1	19	[18,21]	[22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40]	0.003
6	11	1	6	[16,3,45]	[69,70,71,72,73,74]	0.004
6	12	1	12	[17,12,23]	[18,19,21,22,23,24,25,26,34,37,38,39]	0.004
6	13	1	8	[17,12,23,32]	[40,41,42,43,44,45,46,47]	0.005
6	15	1	8	[19,42]	[5,11,12,13,14,15,30,31]	0.003
6	16	1	30	[19]	[32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61]	0.002
7	2	1	2	[7,26,21]	[3,4]	0.004
7	4	1	9	[17,20]	[5,6,7,8,9,10,11,12,13]	0.003
7	6	1	6	[20]	[16,17,18,19,20,21]	0.002
7	8	1	2	[20,17,12]	[48,49]	0.004
7	9	1	3	[20,16,3,44]	[75,76,77]	0.005
7	10	1	6	[21]	[5,6,7,8,9,10]	0.002
7	13	1	2	[20,16,3,46,35]	[78,79]	0.006
7	15	1	2	[20,19,42]	[62,63]	0.004
7	16	1	2	[20,19]	[64,65]	0.003
8	1	1	10	[13,10,22]	[3,4,5,6,7,8,9,10,11,12]	0.004
8	3	1	5	[4,9,22]	[20,27,28,29,30]	0.004
8	4	1	2	[22]	[1,2]	0.002
8	5	1	2	[10,22]	[16,17]	0.003
8	7	1	2	[18,11,22]	[48,49]	0.004
8	9	1	2	[22,9,6]	[35,36]	0.004
8	10	1	4	[22,9,4,8]	[11,12,13,14]	0.005
8	11	1	7	[23,31]	[1,2,3,4,5,6,7]	0.003
8	12	1	4	[23]	[8,9,10,11]	0.002
8	13	1	2	[23,32]	[12,16]	0.003
8	14	1	12	[23,32,34]	[17,20,27,28,29,30,48,49,50,51,52,53]	0.004
8	16	1	8	[22,11,19]	[66,67,68,69,70,71,72,73]	0.004
9	2	1	16	[24]	[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16]	0.002
9	3	1	7	[4,24]	[21,22,23,24,25,26,34]	0.003
9	4	1	7	[5,24]	[17,18,19,20,27,28,29]	0.003
9	7	1	3	[18,2,43,25]	[75,76,77]	0.005
9	8	1	2	[12,5,24]	[35,36]	0.004
9	11	1	4	[25,45]	[34,35,36,37]	0.003
9	12	1	5	[25,45,28]	[38,41,42,43,44]	0.004
9	13	1	4	[25,46,35]	[1,2,3,4]	0.004
9	14	1	9	[25,46]	[5,6,7,8,9,10,11,12,13]	0.003
9	15	1	2	[25,46,36]	[14,15]	0.004
9	16	1	2	[24,5,11,19]	[74,75]	0.005
10	3	1	3	[26]	[1,2,5]	0.002
10	4	1	2	[17,20,27]	[14,15]	0.004
10	6	1	19	[20,27]	[22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40]	0.003
10	7	1	6	[27]	[5,6,7,8,9,10]	0.002
10	8	1	4	[12,5,7,26]	[11,12,13,14]	0.005
10	11	1	12	[26,7,6,25,45]	[45,46,47,48,49,50,51,52,75,76,77,78]	0.006
10	12	1	4	[26,7,5,12,23]	[62,63,64,65]	0.006
10	16	1	16	[27,20,19]	[80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95]	0.004
10	17	1	8	[26,7,6,25]	[66,67,68,69,70,71,72,73]	0.005
11	1	1	21	[43,29]	[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]	0.003
11	2	1	4	[24,44,29]	[30,31,32,33]	0.004
11	4	1	3	[22,30,28]	[13,14,15]	0.004
11	5	1	12	[1,43,29]	[57,58,59,60,61,62,63,64,65,66,67,68]	0.004
11	6	1	6	[2,43,29]	[69,70,71,72,73,74]	0.004
11	8	1	7	[30,28]	[1,2,3,4,5,6,7]	0.003
11	9	1	4	[44,29]	[34,35,36,37]	0.003
11	10	1	12	[8,4,24,44,29]	[45,46,47,48,49,50,51,52,75,76,77,78]	0.006
11	12	1	13	[28]	[1,2,3,4,5,6,7,8,9,10,11,12,13]	0.002
11	14	1	4	[29,46]	[16,17,18,19]	0.003
11	15	1	2	[29,46,36]	[20,21]	0.004
11	16	1	4	[29,43,2,19]	[76,77,78,79]	0.005
11	17	1	14	[29]	[1,2,3,4,5,6,7,8,9,10,11,12,13,14]	0.002
12	1	1	8	[43,29,31]	[22,23,24,25,26,27,28,29]	0.004
12	3	1	5	[4,9,22,30]	[31,32,33,35,36]	0.005
12	6	1	12	[11,22,30]	[18,19,21,22,23,24,25,26,34,37,38,39]	0.004
12	8	1	4	[30]	[8,9,10,11]	0.002
12	9	1	5	[44,29,31]	[38,41,42,43,44]	0.004
12	10	1	4	[8,4,9,22,30]	[62,63,64,65]	0.006
12	11	1	13	[31]	[1,2,3,4,5,6,7,8,9,10,11,12,13]	0.002
12	13	1	3	[32]	[1,2,3]	0.002
12	14	1	2	[32,34]	[4,5]	0.003
12	15	1	6	[32,34,36]	[6,7,8,9,10,11]	0.004
12	17	1	5	[31,29]	[22,23,24,25,26]	0.003
13	1	1	23	[43,37,34]	[30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52]	0.004
13	3	1	2	[4,24,44,37,34]	[53,54]	0.006
13	6	1	8	[11,22,30,33]	[40,41,42,43,44,45,46,47]	0.005
13	7	1	2	[18,2,43,37,34]	[78,79]	0.006
13	8	1	2	[30,33]	[12,16]	0.003
13	9	1	4	[44,37,34]	[1,2,3,4]	0.004
13	12	1	3	[33]	[1,2,3]	0.002
13	14	1	12	[34]	[1,2,3,12,13,14,15,16,18,19,21,22]	0.002
13	15	1	2	[34,36]	[23,24]	0.003
13	17	1	5	[34,37]	[25,26,31,32,33]	0.003
14	3	1	7	[4,24,44,37]	[55,56,57,58,59,60,61]	0.005
14	5	1	10	[38,36]	[6,7,8,9,10,11,30,31,32,33]	0.003
14	8	1	12	[30,33,35]	[17,20,27,28,29,30,48,49,50,51,52,53]	0.004
14	9	1	9	[44,37]	[5,6,7,8,9,10,11,12,13]	0.003
14	11	1	4	[45,37]	[16,17,18,19]	0.003
14	12	1	2	[33,35]	[4,5]	0.003
14	13	1	12	[35]	[1,2,3,12,13,14,15,16,18,19,21,22]	0.002
14	15	1	2	[36]	[1,2]	0.002
14	17	1	4	[37]	[1,2,3,4]	0.002
15	1	1	8	[13,38]	[13,14,15,16,17,18,19,20]	0.003
15	2	1	7	[9,14,38]	[12,21,22,23,24,25,26]	0.004
15	3	1	2	[4,9,14,38]	[37,38]	0.005
15	4	1	8	[14,38]	[1,2,3,4,5,27,28,29]	0.003
15	5	1	6	[38]	[34,35,36,39,40,41]	0.002
15	6	1	8	[41,40]	[5,11,12,13,14,15,30,31]	0.003
15	7	1	2	[18,41,40]	[62,63]	0.004
15	9	1	2	[44,37,39]	[14,15]	0.004
15	11	1	2	[45,37,39]	[20,21]	0.004
15	12	1	6	[33,35,39]	[6,7,8,9,10,11]	0.004
15	13	1	2	[35,39]	[23,24]	0.003
15	14	1	2	[39]	[1,2]	0.002
15	16	1	11	[40]	[1,2,3,4,5,6,7,8,9,10,11]	0.002
16	3	1	5	[26,21,18,41]	[6,7,8,9,10]	0.005
16	4	1	18	[17,41]	[1,2,3,4,16,17,18,19,20,21,22,23,24,25,26,27,28,29]	0.003
16	5	1	5	[38,42]	[42,43,44,45,46]	0.003
16	6	1	30	[41]	[32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61]	0.002
16	7	1	2	[18,41]	[64,65]	0.003
16	8	1	8	[12,17,41]	[66,67,68,69,70,71,72,73]	0.004
16	9	1	2	[6,9,17,41]	[74,75]	0.005
16	10	1	16	[21,18,41]	[80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95]	0.004
16	11	1	4	[45,3,16,41]	[76,77,78,79]	0.005
16	15	1	11	[42]	[1,2,3,4,5,6,7,8,9,10,11]	0.002
17	1	1	4	[43]	[53,54,55,56]	0.002
17	3	1	2	[4,24,44]	[39,40]	0.004
17	10	1	8	[8,4,24,44]	[66,67,68,69,70,71,72,73]	0.005
17	11	1	14	[45]	[1,2,3,4,5,6,7,8,9,10,11,12,13,14]	0.002
17	12	1	5	[28,45]	[22,23,24,25,26]	0.003
17	13	1	5	[35,46]	[25,26,31,32,33]	0.003
17	14	1	4	[46]	[1,2,3,4]	0.002
