src	dst	index	capacity	fiberpath_index	wavelength	failure
10	8	1	7	[29]	[18,19,20,21,22,23,24]	0.002
10	11	1	10	[31]	[1,2,3,4,5,6,7,8,9,10]	0.002
10	12	1	7	[32]	[7,8,9,10,11,12,13]	0.002
11	1	1	6	[5,15,20,33]	[43,44,45,46,47,48]	0.005
11	2	1	6	[12,16,20,33]	[42,49,50,51,52,53]	0.005
11	3	1	6	[15,20,33]	[61,62,63,64,65,66]	0.004
11	4	1	6	[19,33]	[13,14,15,16,17,18]	0.003
11	7	1	6	[33]	[56,57,58,59,60,78]	0.002
11	8	1	6	[29,35]	[25,26,43,44,45,46]	0.003
11	9	1	6	[34]	[1,2,3,4,5,6]	0.002
11	10	1	10	[35]	[1,2,3,4,5,6,7,8,9,10]	0.002
11	12	1	14	[36]	[1,2,3,4,5,6,7,8,9,10,11,12,13,14]	0.002
12	1	1	6	[5,15,24,29,37]	[49,50,51,52,53,54]	0.006
12	2	1	7	[12,16,24,29,37]	[73,74,75,76,77,78,79]	0.006
12	6	1	14	[20,33,38]	[30,31,54,67,68,69,70,71,72,73,74,75,76,77]	0.004
12	7	1	6	[33,38]	[79,80,81,82,83,84]	0.003
12	8	1	6	[29,37]	[47,48,80,81,82,83]	0.003
12	9	1	6	[30,37]	[1,2,3,4,5,6]	0.003
12	10	1	7	[37]	[7,8,9,10,11,12,13]	0.002
12	11	1	14	[38]	[1,2,3,4,5,6,7,8,9,10,11,12,13,14]	0.002
